City,Population,Common_Health_Diseases,Recommended_Health_Checkups
Mumbai,23355000,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Dermatitis, Eczema), Mental health issues (e.g., Stress, Anxiety)","Blood pressure check, Cholesterol test, Pulmonary function test, Skin examination, Mental health assessment"
Delhi,29617000,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Eye problems (e.g., Dry Eye Syndrome, Allergic Conjunctivitis)","Blood sugar test, Lung function test, Blood pressure check, Eye examination"
Bengaluru,14008000,"Asthma (e.g., Bronchial Asthma), Hypertension (e.g., Essential Hypertension), Skin diseases (e.g., Psoriasis, Dermatitis), Eye problems (e.g., Glaucoma, Cataracts)","Pulmonary function test, ECG, Skin examination, Eye examination"
Hyderabad,9746000,"Cardiovascular diseases (e.g., Hypertension, Atherosclerosis), Obesity (e.g., Central Obesity), Respiratory diseases (e.g., Asthma, COPD), Skin diseases (e.g., Acne, Eczema)","Blood pressure check, BMI calculation, Pulmonary function test, Skin examination"
Chennai,11324000,"Diabetes (e.g., Type 2 Diabetes), Heart diseases (e.g., Coronary Artery Disease), Respiratory diseases (e.g., Asthma, COPD), Eye problems (e.g., Diabetic Retinopathy, Cataracts)","Blood sugar test, ECG, Lung function test, Eye examination"
Kolkata,17560000,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Pune,7764000,"Asthma (e.g., Bronchial Asthma), Cardiovascular diseases (e.g., Hypertension, Atherosclerosis), Respiratory diseases (e.g., COPD), Mental health issues (e.g., Depression, Anxiety)","Pulmonary function test, Blood pressure check, Mental health assessment"
Ahmedabad,8854444,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Blood sugar test, Lung function test, Blood pressure check, Skin examination"
Jaipur,3073350,"Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Respiratory diseases (e.g., Asthma, COPD), Eye problems (e.g., Cataracts, Glaucoma)","Blood pressure check, ECG, Lung function test, Eye examination"
Lucknow,3382000,"Respiratory diseases (e.g., Asthma, COPD), Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Skin diseases (e.g., Psoriasis, Dermatitis)","Lung function test, Blood pressure check, ECG, Skin examination"
Kanpur,3286000,"Respiratory diseases (e.g., Asthma, COPD), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Diabetes (e.g., Type 2 Diabetes), Eye problems (e.g., Dry Eye Syndrome, Glaucoma)","Blood pressure check, Lung function test, Blood sugar test, Eye examination"
Nagpur,2405665,"Respiratory diseases (e.g., Asthma, COPD), Diabetes (e.g., Type 2 Diabetes), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Blood sugar test, Pulmonary function test, Blood pressure check, Skin examination"
Indore,2201927,"Hypertension (e.g., Essential Hypertension), Cardiovascular diseases (e.g., Coronary Artery Disease, Atherosclerosis), Respiratory diseases (e.g., Asthma, COPD), Eye problems (e.g., Cataracts, Glaucoma)","Blood pressure check, ECG, Lung function test, Eye examination"
Thane,1261517,"Asthma (e.g., Bronchial Asthma), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Respiratory diseases (e.g., COPD), Mental health issues (e.g., Depression, Anxiety)","Pulmonary function test, Blood pressure check, Skin examination, Mental health assessment"
Bhopal,1883381,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Psoriasis, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
Visakhapatnam,2385000,"Asthma (e.g., Bronchial Asthma), Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Respiratory diseases (e.g., COPD), Eye problems (e.g., Cataracts, Glaucoma)","Pulmonary function test, ECG, Lung function test, Eye examination"
Patna,2035922,"Respiratory diseases (e.g., Asthma, COPD), Tuberculosis, Cardiovascular diseases (e.g., Hypertension, Coronary Artery Disease), Skin diseases (e.g., Eczema, Dermatitis)","Chest X-ray, Sputum test, Blood pressure check, Skin examination"
